col_name,feature_importance_vals
seller_id,1.8784093866617038
listing_type_id,1.396018496457141
category_id,0.7676490882696667
sold_quantity,0.6142852917529381
initial_quantity,0.32238166139158686
available_quantity,0.23429712042411935
pic_num_sizes,0.21843150574509254
seller_antiq,0.16321722643156053
pic_min_size,0.14856757795532283
pic_num_items,0.1331583003195273
price,0.12809031140950752
pic_max_size,0.12590080538127096
nmp_tc,0.11336520863434034
seller_addresscity_id,0.08137914146328984
shippingmode,0.08032261490192905
tag_good_qt,0.07169756723423357
nmp_qty,0.053541446179469314
nmp_buyer,0.04679937247695303
seller_addressstate_name,0.03537822569400153
days_since_update,0.033764698022180364
buying_mode,0.030909384233587796
days_elapsed,0.029822336854582146
nmp_transf,0.021942216755204733
category_id_cnt,0.02002994345576783
automatic_relist,0.017387361923544217
